"label","level","id","title_long","title","label_logits","label_nologits"
"FeedCrops",1,1,"FeedCrops","Logit: NA","FeedCrops: NA","FeedCrops"
"water_td_an_C",1,2,"water_td_an_C","Logit: 0","water_td_an_C: 0","water_td_an_C"
"water_td_an_W",1,3,"water_td_an_W","Logit: 0","water_td_an_W: 0","water_td_an_W"
"FodderHerb_Residue",1,4,"FodderHerb_Residue","Logit: NA","FodderHerb_Residue: NA","FodderHerb_Residue"
"Pasture_FodderGrass",1,5,"Pasture_FodderGrass","Logit: NA","Pasture_FodderGrass: NA","Pasture_FodderGrass"
"Scavenging_Other",1,6,"Scavenging_Other","Logit: NA","Scavenging_Other: NA","Scavenging_Other"
"N fertilizer",1,7,"N fertilizer","Logit: -3","N fertilizer: -3","N fertilizer"
"biophysical water consumption",1,8,"biophysical water consumption","Logit: NA","biophysical water consumption: NA","biophysical water consumption"
"refined liquids industrial",1,9,"refined liquids industrial","Logit: -3","refined liquids industrial: -3","refined liquids industrial"
"water_td_irr_X_C",1,10,"water_td_irr_X_C","Logit: NA","water_td_irr_X_C: NA","water_td_irr_X_C"
"water_td_irr_X_W",1,11,"water_td_irr_X_W","Logit: NA","water_td_irr_X_W: NA","water_td_irr_X_W"
"regional corn",1,12,"regional corn","Logit: -3","regional corn: -3","regional corn"
"trn_freight",1,13,"trn_freight","Logit: -2","trn_freight: -2","trn_freight"
"regional DDGS",1,14,"regional DDGS","Logit: -3","regional DDGS: -3","regional DDGS"
"regional fibercrop",1,15,"regional fibercrop","Logit: -3","regional fibercrop: -3","regional fibercrop"
"regional misccrop",1,16,"regional misccrop","Logit: -3","regional misccrop: -3","regional misccrop"
"regional oilcrop",1,17,"regional oilcrop","Logit: -3","regional oilcrop: -3","regional oilcrop"
"regional oilcrop feedcake",1,18,"regional oilcrop feedcake","Logit: -3","regional oilcrop feedcake: -3","regional oilcrop feedcake"
"regional othergrain",1,19,"regional othergrain","Logit: -3","regional othergrain: -3","regional othergrain"
"regional rapeseed feedcake",1,20,"regional rapeseed feedcake","Logit: -3","regional rapeseed feedcake: -3","regional rapeseed feedcake"
"regional rice",1,21,"regional rice","Logit: -3","regional rice: -3","regional rice"
"regional root_tuber",1,22,"regional root_tuber","Logit: -3","regional root_tuber: -3","regional root_tuber"
"regional soybean",1,23,"regional soybean","Logit: -3","regional soybean: -3","regional soybean"
"regional soybean feedcake",1,24,"regional soybean feedcake","Logit: -3","regional soybean feedcake: -3","regional soybean feedcake"
"regional sugarcrop",1,25,"regional sugarcrop","Logit: -3","regional sugarcrop: -3","regional sugarcrop"
"regional wheat",1,26,"regional wheat","Logit: -3","regional wheat: -3","regional wheat"
"FodderHerb",1,27,"FodderHerb","Logit: -3","FodderHerb: -3","FodderHerb"
"Residue",1,28,"Residue","Logit: NA","Residue: NA","Residue"
"regional beef",1,29,"regional beef","Logit: -3.9","regional beef: -3.9","regional beef"
"regional oilcrop oil",1,30,"regional oilcrop oil","Logit: -3","regional oilcrop oil: -3","regional oilcrop oil"
"regional palmfruit oil",1,31,"regional palmfruit oil","Logit: -3","regional palmfruit oil: -3","regional palmfruit oil"
